MAE,hours,MSE
35.57221458,13,2113.615740441973
36.14753159,11,2761.416656244946
37.05170082,10,2116.684111085193
38.10041203,12,2218.719043081654
30.31333256,17,1697.1675607005368
28.03779821,9,1553.5236507682068
25.09425326,20,1463.0212324189426
34.26141937,14,1998.6718967374272
32.49175262,16,1809.8034136735364
34.56000780,22,2011.6189976982691
32.07303758,18,1944.1423919837662
27.32185546,19,1661.4836059341883
32.82843449,15,1899.3092256002521
26.05859499,21,1545.6156239645554
53.76319100,23,20920.56271717521
59.98333000,0,4007.570870324334
16.71667500,8,787.0361111110889
